00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
最大值,05,22,08,16,01,03,09,03,25,09,21,24,01,06,09,04,27,07,28,15,10,25,01,08,09,04,17,19,08,16,09,02,09
最大值,05,22,08,16,01,03,09,03,25,09,21,04,01,06,09,04,27,07,28,15,10,25,01,08,09,04,17,19,08,16,09,02,09
最大值,05,22,08,16,01,03,09,03,25,09,21,04,01,06,09,04,27,07,28,15,10,25,01,08,09,04,17,19,08,16,09,02,09
最大值,05,22,08,16,01,03,09,03,25,09,21,04,01,22,09,04,27,07,28,15,10,25,01,05,09,04,17,19,08,22,09,02,09
最大值,05,22,08,12,01,03,09,03,25,09,21,04,19,22,09,04,27,07,28,15,10,25,01,05,09,04,17,19,08,22,09,02,09
最大值,05,22,08,12,01,03,09,03,25,09,21,04,19,22,09,04,15,07,28,15,10,25,01,05,09,04,17,19,08,22,09,02,09
最大值,05,17,08,12,01,03,09,03,25,09,21,04,19,22,09,04,02,07,28,15,10,25,01,05,09,04,17,19,08,22,09,02,09
最大值,05,03,08,12,01,03,09,03,25,09,21,04,19,22,09,04,02,07,28,15,10,25,01,05,09,04,17,19,08,22,09,02,09
最大值,05,03,08,12,01,03,09,03,25,09,21,04,19,22,04,04,02,07,28,15,10,25,01,05,09,04,04,19,08,22,09,02,09
最大值,05,03,08,12,01,03,09,03,25,09,21,04,19,30,04,04,02,20,28,15,10,25,01,05,09,04,04,19,08,14,09,02,09
最大值,05,03,08,12,01,24,09,03,25,09,21,04,19,30,04,04,02,20,28,04,10,25,01,05,09,04,04,19,08,14,09,02,09
最大值,05,03,08,26,01,24,09,03,25,09,21,04,19,30,04,04,02,20,28,04,10,25,01,05,09,04,04,19,08,14,04,02,09
最大值,05,03,08,26,01,24,09,03,25,09,21,04,19,30,04,04,02,20,28,04,10,25,01,05,09,04,04,19,08,14,03,02,09
最大值,05,03,06,26,01,03,09,03,25,09,21,04,19,30,20,04,02,20,28,15,10,25,01,05,03,04,04,19,08,14,03,02,09
最大值,05,03,06,26,01,03,09,03,25,09,21,04,04,30,20,04,02,20,28,15,10,25,01,05,03,04,04,19,08,14,04,02,09
最大值,05,03,06,26,01,03,09,03,25,09,21,04,04,30,20,04,02,20,28,15,10,25,01,05,03,04,04,19,08,14,04,02,09
最大值,05,03,08,26,01,03,09,03,25,09,21,04,04,30,20,04,02,14,28,15,10,25,01,05,03,04,04,19,08,14,04,02,09
最大值,05,17,08,26,01,03,09,03,25,09,21,04,04,30,20,04,02,14,28,15,10,25,01,05,03,04,04,19,08,14,04,02,09
最大值,05,17,08,26,01,03,09,03,25,17,21,04,04,30,20,04,02,14,28,15,10,25,01,05,03,04,17,19,08,14,04,02,09
最大值,05,17,08,26,24,03,09,03,25,17,21,04,04,30,20,04,02,14,28,15,10,25,01,05,03,04,17,19,08,14,04,02,09
最大值,05,17,08,26,24,03,09,03,25,17,21,04,04,30,20,04,02,08,28,15,10,25,01,05,03,04,17,19,08,14,04,02,09
最大值,05,17,08,26,24,03,09,03,25,17,21,04,04,30,20,04,02,08,28,15,10,25,01,05,03,04,17,19,01,14,04,02,09
最大值,05,17,08,26,24,03,09,03,25,17,21,04,04,30,20,04,02,08,28,15,10,25,01,05,03,04,17,19,01,14,04,02,09
最大值,05,17,08,26,24,03,09,03,25,17,21,04,04,30,20,04,02,08,28,15,10,05,01,05,03,04,17,19,01,14,04,33,09
最大值,05,17,08,26,24,03,09,03,25,17,08,04,04,30,20,04,02,08,28,15,10,05,01,05,03,04,17,19,08,14,04,33,09



出球次数,01,00,00,01,01,00,00,00,01,00,00,00,00,00,01,00,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
出球次数,01,01,01,01,01,00,01,00,02,01,00,00,00,00,01,00,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,00
出球次数,01,01,02,01,01,01,01,01,02,01,00,00,00,00,01,00,01,00,00,00,00,00,00,01,00,00,00,00,01,00,01,01,00
出球次数,02,01,02,01,02,01,01,01,02,02,01,00,00,00,01,00,01,00,00,00,01,00,01,01,00,00,00,00,01,00,01,01,00
出球次数,02,01,02,01,02,01,02,01,03,02,01,00,00,00,01,00,01,01,00,00,01,00,01,01,00,00,01,00,01,00,02,01,01
出球次数,02,02,02,01,02,01,02,01,03,02,01,00,00,00,01,00,01,01,00,00,01,01,01,01,01,00,01,00,02,00,02,02,02
出球次数,02,02,02,01,02,01,02,01,03,03,01,00,00,00,01,00,02,01,01,00,01,01,01,01,01,00,02,01,02,00,02,03,02
出球次数,03,02,02,01,02,01,02,01,03,03,01,01,00,00,01,00,02,01,01,01,01,01,02,02,01,00,02,01,03,00,02,03,02
出球次数,03,02,02,02,02,01,02,01,03,03,01,01,00,00,01,01,02,01,01,01,01,01,02,03,01,01,03,01,03,00,02,03,03
出球次数,04,02,03,02,02,01,02,01,03,03,01,01,01,00,01,01,02,01,02,01,01,01,02,03,02,02,03,01,03,00,02,03,03
出球次数,04,02,03,03,02,01,02,01,03,03,01,01,01,01,02,02,02,01,02,02,01,01,02,03,02,03,03,01,03,00,02,03,03
出球次数,04,02,03,03,02,01,02,01,03,03,01,01,01,01,03,02,03,02,02,03,01,01,03,03,02,03,04,01,03,00,02,03,03
出球次数,04,02,03,03,02,02,02,02,03,03,01,01,01,01,03,02,03,02,02,03,01,01,03,04,02,03,04,01,04,01,02,04,03
出球次数,05,03,03,03,03,02,02,02,03,03,01,01,01,01,03,03,03,02,02,03,01,01,03,04,02,03,04,02,04,02,02,04,03
出球次数,06,03,04,03,03,03,02,02,03,04,01,01,01,01,03,03,03,02,02,03,02,01,04,04,02,03,04,02,04,02,02,04,03
出球次数,06,04,04,03,04,03,02,02,03,04,01,02,01,01,03,03,04,02,02,03,02,02,04,04,03,03,04,02,04,02,02,04,03
出球次数,06,04,04,03,04,04,02,02,04,04,01,02,01,02,03,03,04,02,03,03,02,02,04,04,04,03,04,03,04,02,02,04,03
出球次数,06,04,05,03,05,05,02,02,04,04,01,02,01,02,03,03,04,02,03,03,02,03,04,04,04,04,04,03,04,02,02,05,03
出球次数,06,04,05,03,05,05,03,02,04,04,01,02,01,03,03,03,04,03,03,04,02,04,04,04,04,04,04,03,04,03,02,05,03
出球次数,06,04,06,03,05,05,03,03,04,04,01,03,01,03,03,03,04,04,03,04,02,04,05,04,04,04,04,03,05,03,02,05,03
出球次数,07,04,06,03,05,05,03,03,04,04,01,03,01,03,04,04,04,05,03,04,02,05,05,04,04,04,04,03,05,04,02,05,03
出球次数,07,04,06,04,05,05,03,04,04,04,01,04,01,03,04,04,04,05,03,04,02,05,05,05,04,05,05,03,05,04,02,05,03
出球次数,07,04,06,04,06,05,03,04,05,04,01,04,01,03,05,04,04,05,03,04,02,05,06,06,04,05,05,03,05,04,02,05,04
出球次数,07,04,06,05,06,05,03,04,05,04,01,05,01,03,05,04,04,05,04,04,03,05,06,06,05,05,05,04,05,04,02,05,04
出球次数,07,04,07,05,06,05,03,05,06,04,01,05,01,03,05,04,05,05,04,04,03,05,06,06,06,05,06,04,05,04,02,05,04
出球次数,07,04,08,05,06,05,04,05,07,04,01,05,01,03,06,04,05,05,04,04,03,05,06,07,07,05,06,04,05,04,02,05,04
出球次数,07,04,08,06,06,05,04,05,07,04,01,05,01,03,06,05,05,05,04,04,03,06,06,07,08,05,06,04,05,05,03,05,04
出球次数,07,04,08,06,06,05,04,05,07,05,01,05,01,03,07,05,05,05,04,05,04,06,06,07,08,05,06,05,05,06,03,05,04
出球次数,07,04,08,07,06,05,05,05,07,05,01,05,01,03,08,05,05,05,04,05,04,06,06,07,09,06,06,06,05,06,03,05,04
出球次数,07,04,08,07,06,05,05,05,08,06,01,05,01,03,08,05,06,06,04,05,05,06,06,07,09,06,06,06,05,06,04,05,04
出球次数,07,04,08,08,06,05,05,05,08,06,01,05,01,03,08,06,06,06,04,05,05,07,06,08,09,06,07,06,05,06,05,05,04
出球次数,08,05,08,08,06,05,05,05,08,07,01,05,01,03,08,06,07,06,04,05,05,08,06,09,09,06,07,06,05,06,05,05,04
出球次数,08,06,09,08,06,05,05,05,08,07,01,05,01,03,09,07,08,06,04,05,05,08,06,09,09,06,08,06,05,06,05,05,04
出球次数,08,07,10,08,06,05,05,06,08,07,01,05,01,03,09,07,08,06,04,05,05,08,07,09,09,06,08,06,05,06,05,06,05
出球次数,08,07,10,08,06,05,05,06,09,07,02,06,01,03,09,07,08,06,04,05,06,08,07,10,09,07,08,06,05,06,05,06,05
出球次数,08,08,10,08,06,05,05,06,09,07,03,06,02,03,09,07,08,07,05,05,06,08,07,10,09,08,08,06,05,06,05,06,05
出球次数,08,08,10,08,07,05,05,06,09,07,03,06,02,04,09,07,08,07,06,05,06,08,07,11,09,08,08,07,05,06,05,06,06
出球次数,08,08,10,08,07,05,05,06,10,08,04,06,02,04,10,07,08,07,07,05,06,08,07,11,09,08,08,07,05,06,05,06,07
